Review ID,Reviewer Name,Rating,Review Date,Review Content
11,CN,1 ⭐,Mar 19 2025,You didn’t do anything but ask for documentation which I no longer had so I will never buy travel insurance again. Thanks for the lesson. Only cost a hotel room I didn’t use about 240$
12,AM,2 ⭐,Mar 19 2025,I did not receive full reimbursement for all my medical expenses
13,DO,5 ⭐,Mar 19 2025,"We will never travel without Allianz insurance.  A few weeks prior to our cruise date, my husband had to have his gallbladder removed, which resulted in two more hospitalizations for complications. Filing a claim was simple. I simply had to upload the hospitalization summaries and a note from the doctor and we were fully reimbursed within 10 to 14 days."
14,CB,5 ⭐,Mar 19 2025,Very professional! No nonsense always there to help you out if you have a problem. Would never use anyone else but ALLIANZ!!! The best in customer service and and care about there clients.
15,EL,5 ⭐,Mar 19 2025,"Very polite and educated representatives, very fast and professional respond. Very pleased to make a deal with."
16,DA,5 ⭐,Mar 19 2025,The claim submission process was easy and straightforward.  The review and payout time was very quick!
17,TZ,1 ⭐,Mar 19 2025,Agent told me wrong about what the insurance covers and my claim was denied because it didn’t cover my airline cancellation
18,ER,5 ⭐,Mar 19 2025,"It has been easy to renew our policy yearly. We have used Allianz for years now, but t we just started having yearly policy in the last three years. We have not have any claims."
19,SC,5 ⭐,Mar 19 2025,Allianz is quick and helpful.
20,TO,5 ⭐,Mar 19 2025,"Simple, no hassle process to submit and get reimbursed"
21,RW,5 ⭐,Mar 19 2025,A very simple and smooth claims process that could be managed straight from my phone.
22,ST,5 ⭐,Mar 19 2025,"We had a medical emergency in Mexico and were required to pay all bills upfront. When we returned home, I contacted Allianz, submitted a claim, and was reimbursed quickly. I am still waiting on my health insurance to indicate what they will cover, but was delighted Allianz came through!"
23,KR,1 ⭐,Mar 19 2025,It took about a month for my claim to finally be done and it was denied. What is the point of me buying ticket insurance and I can’t even use it? It’s a scam.
24,Chris Lovejoy,5 ⭐,Mar 19 2025,I had to cancel my flight due to an emergency with my family and Allianz was easy to work with when entering the information needed.  I was refunded the cancellation fee promptly.  No complaints!
25,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
26,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
27,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
28,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
29,Duff McDonald,5 ⭐,Mar 19 2025,N/A
30,SE,1 ⭐,Mar 19 2025,I just got a generic email back. My question wasn't answered.
31,LS,2 ⭐,Mar 19 2025,"It would be helpful if your evaluators would look at the submitted documentation before asking for things to be  resubmitted that you already have; secondly, I found it very offensive when you asked for a death certificate and police report, when neither applied.  And thirdly, communication was totally lacking; I had to followup and reach out to find out what was happening.  Overall, I was disappointed in the process, not the outcome."
32,DS,5 ⭐,Mar 19 2025,Very responsive.  Easy and quick online claim.
33,JA,1 ⭐,Mar 18 2025,I tried to cancel my flight for May in February and still haven’t recieved my money back . was only offered $69 in a refund
34,DE,5 ⭐,Mar 18 2025,N/A
35,DK,5 ⭐,Mar 18 2025,"I have purchased travel insurance from other companies in case of emergency. This was the first time I utilized Allianz Travel Insurance and it was worth it. While traveling internationally I had to use an Urgent care facility. I forwarded a claim in the easy to use Allianz App with proofs of treatment and payment. Within 24 while still abroad, Allianz processed and made a direct deposit into my account. I would highly recomend Allianz Travel Insurance and will certainly purchase their travel insurance from Allianz on future travel."
36,CB,5 ⭐,Mar 18 2025,Easy and precise
37,MT,5 ⭐,Mar 18 2025,N/A
38,LT,5 ⭐,Mar 18 2025,N/A
39,MO,5 ⭐,Mar 18 2025,Reviewed and paid quickly
40,FT,5 ⭐,Mar 18 2025,"Very easy to pick a plan, no need for assistance, can call if need be, I have used Allianz for the past 3 yearsAnd I feel relieved that my wife & I are covered for all the traveling we do,So far we had one  claim and we were satisfied with our compensation."
41,CT,5 ⭐,Mar 18 2025,"I always feel very comfortable having Allianz insurance, i am so glad you ""exist."""
42,SL,5 ⭐,Mar 18 2025,"Great customer service, answered all my questions.  I made a claim for trip cancellation and the process was quick and easy.  Very satisfied."
43,RL,5 ⭐,Mar 18 2025,Very responsive and very little hassle.
44,NS,4 ⭐,Mar 18 2025,I did not have to use my travel insurance on this trip!
45,RE,5 ⭐,Mar 18 2025,"I have purchased insurance before but have never had the need to use. This was my first experience, and it was very easy to use. Communicates was excellent. A very good experience."
46,PD,1 ⭐,Mar 18 2025,You do not protect your customers and offer inadequate insurance that do not help when needed.
47,LC,1 ⭐,Mar 18 2025,Provided required documents via email and received an email stating documents were received!Now received another email today...3/18/25...stating I needed to provide the same documents I already sent!Tried to call 800# and was unable to speak to a live person!
48,GE,4 ⭐,Mar 18 2025,Prompt response to the problem. Satisfied with the solution
49,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
50,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
51,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
52,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
53,SA,1 ⭐,Mar 18 2025,Not able to address my concerns.
54,DB,5 ⭐,Mar 18 2025,I had to cancel concert tickets because of a schedule change. You folks made it fast and easy.
55,LT,1 ⭐,Mar 18 2025,N/A
56,JL,4 ⭐,Mar 18 2025,N/A
57,KL,5 ⭐,Mar 18 2025,"When I had to deal with some medical issues while on vacation, I went to a local clinic and my problems were resolved.Once we got home, I submitted my bill to Allianz and soon after that the money hit my account. We have had to use them a few times and every single time it was quick, easy and successful!"
58,KS,5 ⭐,Mar 18 2025,The claims process was fairly easy and the payment prompt.
59,KI,2 ⭐,Mar 18 2025,"Up until now, the claims process has been simple.  Unfortunately, trying to get the final expense covered or just discussed has been taking several weeks and is not getting resolved"
60,HA,1 ⭐,Mar 18 2025,"Took out travel insurance, cancel for ANY REASON. Turns out it’s not true. I canceled my trip and they denied my claim. This Alllianz insurance is a fraud! Do not use! Never again you assholes!"
61,JE,5 ⭐,Mar 18 2025,I had excellent service. I had to cancel my trip a couple of days before I left and I didn't expect to get anything back. After submitting some paperwork and filling out a questionare I got a full refund within a few weeks.
62,CM,1 ⭐,Mar 18 2025,"I’d give you zero stars. I resubmitted the documents for my claim not once but twice. Per your policy, I am entitled to $250 compensation. Instead of the $125 you paid. You never got. Back to me other than on February 25 saying I should hear back from you with in 10 days. It is now 21 days later on March 18. Terrible service can’t even understand the people on the phone."
63,AT,1 ⭐,Mar 18 2025,useless! Only recovered small percentage of losses after flight cancellation
64,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
65,SK,5 ⭐,Mar 18 2025,Clearly compared all levels of travel insurance for my trip.  Great rates.  And FANTASTIC service when I had a claim a few years ago.
66,LY,3 ⭐,Mar 18 2025,"I had a painful experience with customer service. They did ultimately refund the money for which I'm grateful, but it was a hassle getting there."
67,KA,3 ⭐,Mar 18 2025,I don't like that I need to file a claim with medicare and my supplemental plan when you know they do not pay for out of the country medical expenses. That takes a few phone calls and follow up that I don't think are necessary. Other than that it was fine. Price is reasonable and service people are courteous.
68,LR,5 ⭐,Mar 18 2025,I have used alliance many times and they have always come through for me and it’s very easy to use
69,AS,1 ⭐,Mar 18 2025,I bought insurance for my tickets because ticketmaster told me to in case something came up like work or life but when I failed a claim for basic life things that came up I did not get approved. So I lost my ticket money and insurance money. Don’t buy insurance unless you’re going to get into a natural disaster during your concert time.
70,AC,1 ⭐,Mar 18 2025,"Back in November 2024 I submitted for a refund on my plane tickets to a Hawaii trip. Due to a major surgery, my husband & I were unable to travel. We were approved for refund on both tickets for $416.40 ea.On Nov 26th! 2024 we received one refund but are still owed the second. I contacted your company via phone & again faxed all paperwork to your company. We are still waiting on another payment of $416.40 How much longer before the rest of our money gets to us?"
71,ET,1 ⭐,Mar 18 2025,I have tried to submit a claim and it keeps getting returned and no one is telling me why.
72,AM,5 ⭐,Mar 18 2025,Incredibly quick and easy claim and payout.
73,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
74,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
75,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
76,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
77,JH,5 ⭐,Mar 18 2025,You processed my claim quickly and fairly and totally. Thank you. Thank you.
78,MD,5 ⭐,Mar 18 2025,Great service!!!
79,ML,5 ⭐,Mar 18 2025,Processed claim fast.  From the time I submitted my claim to getting paid was approximately 1 week.
80,YP,5 ⭐,Mar 18 2025,Great benefit to have
81,SB,1 ⭐,Mar 18 2025,I filed a travel claim over 3 weeks ago and haven't heard anything back.
82,CD,5 ⭐,Mar 18 2025,"Easy to work with, quickly modified my policy to meet my travel plans."
83,LE,5 ⭐,Mar 18 2025,It was an easy file and we were reimbursed for my husbands medical expense while on a cruise.
84,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full cost while in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
85,MM,1 ⭐,Mar 18 2025,"Filed a claim on 2/24/25.As of 3/18/25, way past the original 7 to 10 day stated resolution period (then restated as 10-15) and still unresolved.Starting to realized all the money wasted on purchasing travel insurance with Allianz over the years (including four upcoming trips)."
86,BH,5 ⭐,Mar 18 2025,Resolved my issue quickly for me
87,GF,5 ⭐,Mar 18 2025,Thanks this took a but but I'm happy with the result
88,HB,1 ⭐,Mar 18 2025,I still have not received the money from a concert I was unable to attend back in February
89,JS,5 ⭐,Mar 18 2025,The travel insurance policy gave me the comfort and security that I needed to make my travel plans.
90,HA,5 ⭐,Mar 18 2025,Putting in the claim was easy and claims fund came quickly!
91,EG,5 ⭐,Mar 18 2025,We are very pleased when we have filed a claim because it was fairly easy and we were reimbursed in a timely manner!
92,DW,5 ⭐,Mar 18 2025,Highly recommend and gives my refund back faster than what I expect. You need Allianz Travel Insurance to protect you and hassle free while traveling abroad.
93,SC,5 ⭐,Mar 18 2025,My experience Allianz Travel Insurance was very good. The website was easy to maneuver and I received my refund within days. I would recommend this company.
94,Holly Adams Gerhart,5 ⭐,Mar 18 2025,I uploaded receipts for the delay in our travel.  The claim was processed and the refund for our expenses was deposited back to my account quickly.
95,JG,1 ⭐,Mar 18 2025,"Terrible call back experience. Should be able to speak with a live person, speaks English, and understands what documentation is necessary."
96,LB,4 ⭐,Mar 18 2025,Very easy to submit a claim.  Paperwork is minimal.  Time from submission to decision could be shorter.
97,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
98,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
99,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
100,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
101,PF,5 ⭐,Mar 18 2025,Good experience - we had a travel delay and they paid us for our expenses without delay or hassle.
102,EL,5 ⭐,Mar 18 2025,My case was handled and resolved in record time.
103,HR,5 ⭐,Mar 18 2025,N/A
104,KE,5 ⭐,Mar 18 2025,"So grateful we purchased, and service and refund time was wonderful!"
105,TE,1 ⭐,Mar 18 2025,Response and resolution took too long. I ended up cancelling the claim because the event came up.
106,RR,5 ⭐,Mar 18 2025,We called and started a claim. When we arrived home they were very helpful in assisting us with how to submit and what was needed. The prompt review and payment was accomplished extremely quickly. We defiantly recommendFor any travels for piece of mind.
107,DP,1 ⭐,Mar 18 2025,Allianz denied my claim for no reason that I can see was a valid reason for denial. I booked an excursion and was unable to make it due to a port cancellation from the cruise ship I was on. Allianz did not refund my money.
108,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
109,SA,2 ⭐,Mar 18 2025,Very little coverage when my travel plans were delayed and cost me over $1700+ out of pocket.Only $300 was covered after insurance cost of $273.So I will never purchase travel insurance again!Why?Poor coverage.Did receive prompt payment of $300 after submitting claim.  Thus the 2 stars.Believe more expenses should have been covered as trip was interrupted for 24 hours.
110,BC,5 ⭐,Mar 18 2025,Filing is incredibly easy which is much appreciated.  Claim was addressed in a timely manner. Communication for additional documents and progress of claim was also very timely.  Overall extremely satisfied and will use again
111,FM,5 ⭐,Mar 18 2025,Great Customer Service!!The team at Allianz was very helpful in resolving our travel issues.
112,DB,5 ⭐,Mar 18 2025,"This is the best insurance company I have ever worked with.  Their prices are reasonable, they are easy to get in touch with and reliable.  I had to cancel my vacation because of medical reasons and Alliance count not have been more helpful. Thank you Allianz!"
113,SN,5 ⭐,Mar 18 2025,"Jetblue told me that my flight wasn’t covered with my Allianz policy. I called Allianz and was told it was covered. Filing the claim was pretty easy, more than my flight was covered, and I received a check very quickly. This is the first time I have made a claim, although I have purchased Allianz before. I would buy this policy again for peace of mind!"
114,JC,5 ⭐,Mar 18 2025,Easy to set up.
115,DS,5 ⭐,Mar 18 2025,"We very much appreciate the attention of the Allianz Partners USA team in helping resolve a ticket cancellation. They did a great job of attending to the matter and provided resolution within the promised time frame. Thank you for the direction and helping us to bring this to closure.They were professional, knowledgeable and efficient.Regards,David Shockley"
116,LM,5 ⭐,Mar 18 2025,"The process was easy, and very fast on the response and refund!"
117,DC,5 ⭐,Mar 18 2025,They made the process so easy to get a refund.
118,EG,5 ⭐,Mar 18 2025,Claim was processed within a reasonable time. I had to resubmit some documents that were uploaded and sent via email.
119,AN,5 ⭐,Mar 18 2025,Fantastic experience with a recent claim. Got my refund just hours after submitting the claim. Submitting it was straight forward. I will use Allianz on every future trip I take.
120,AR,5 ⭐,Mar 18 2025,"I will always Buy this insurance before a trip, Company was great to deal with."
121,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
122,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
123,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
124,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
125,DP,1 ⭐,Mar 18 2025,Would not allow me to cancel my trip now I'll be reporting this as credit card fraud when charges hit my account in April and you still won't get paid.
126,PS,5 ⭐,Mar 18 2025,Emergency surgery in a foreign country.  Never saw a bill!!
127,LQ,2 ⭐,Mar 18 2025,Given the run around about my claim.
128,ML,5 ⭐,Mar 18 2025,Timely review and response to my claim.
129,SG,3 ⭐,Mar 18 2025,"I renewed my insurance in plenty of time. After that, I received a notice that my insurance was due.  I called to make sure I was covered ( I was).  Then A week later I get an email saying my insurance had expired.  This is very concerning.  I know it has not expired but The notices keep me on edge.  Please update your system so it accurately reflects the current status of policies."
130,SJ,5 ⭐,Mar 18 2025,I haven't had to use the coverage but my sister used it and it was fairly easy. I like not having to purchase insurance on each trip.
131,VA,4 ⭐,Mar 18 2025,N/A
132,JJ,2 ⭐,Mar 18 2025,"I was only reimbursed a couple hundred for the thousand I was out, for the flight delay that caused me to miss my bus. I had to spend an extra night in Paris, pay for dinner, breakfast, and pay for private transportation to catch up with my group that was staying four hours away. I was very disappointed in your service."
133,JP,5 ⭐,Mar 18 2025,N/A
134,DN,5 ⭐,Mar 18 2025,"When a family emergency came up right before our trip I made a few phone calls, emailed a few documents and had 90% of my trip covered. It was fast and  smooth best of all it add very little stress to a very stressful situation! My wife and I said we’d never go without coverage again!"
135,LW,5 ⭐,Mar 18 2025,It was easy to file my claim and the response was incredibly fast
136,EJ,5 ⭐,Mar 18 2025,Super easy and quick.  I was able to get my paperwork filed and claim settlement in a super short time.
137,BF,5 ⭐,Mar 18 2025,"This was a good experience. I submitted my complaint/claim information online and Allianz took it from there by carefully reviewing my claim and after a week I received Allianz compensation regarding my delayed flight. Always Allianz, very reliable."
138,TF,1 ⭐,Mar 18 2025,"We are traveling in Vietnam, and asked Customer Service to confirm whether we would be covered if we rented a scooter (we have American motorcycle licenses). After several repeated requests and re-submitting our information, we have not received a response after 26 days have elapsed.  This makes us deeply concerned that if we have to file a claim that the response will be inadequate."
139,TM,1 ⭐,Mar 18 2025,it’s a joke they didn’t honor whether they said
140,CR,1 ⭐,Mar 18 2025,Were not helpful or timely in doing my review.
141,LF,5 ⭐,Mar 18 2025,N/A
142,NA,2 ⭐,Mar 18 2025,I bought insurance believing my event would be protected. After submitting a claim I was denied coverage which is extremely frustrating. When I checked the status of my claim it said I would receive a detailed letter as to why my claim was denied. It has been one month and I still have not received supposed letter.
143,RS,4 ⭐,Mar 18 2025,The use of the website was easy to use and informative. I was able to complete my claim easily. My response back was a little slower than expected but timely.
144,MC,1 ⭐,Mar 18 2025,"I am experiencing a lack of communication and assistance. I uploaded all the necessary information, yet the program keeps telling me that I haven't. The claims page isn't updating. I also received no explanation about why one claim is marked as ""closed"" and another as ""completed."" When I call for clarification, no one is able to provide an answer.I spoke with a woman who told me that I didn't have proof of a baggage delay, only a plane delay, despite the fact that the baggage was clearly on the plane and was also listed in the documents I submitted.Additionally, I have been trying to get my claim completed since February, but it still has not been settled or explained to me."
145,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
146,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
147,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
148,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
149,KB,1 ⭐,Mar 18 2025,Told me all was taking care of still no refund!!!
150,AS,5 ⭐,Mar 18 2025,I never had good experience with insurance companies  the allianz is the only insurance company you can rely on I am very happy with their service   For a claim they don't ask you for hundreds of supporting documents  they are do as they promised
151,HG,5 ⭐,Mar 18 2025,Responded to my situation and acknowledged my reason to have to change my plans and sent me insurance money thank you
152,CU,5 ⭐,Mar 18 2025,Excellent response time. Helpful and thorough.
153,CH,5 ⭐,Mar 18 2025,Very good with assistance
154,CH,5 ⭐,Mar 18 2025,N/A
155,NA,1 ⭐,Mar 18 2025,The representative was un helpful in ensuring my claim would be approved. They asked very specific questions about why I had to cancel just to say “well Im not sure if that will be approved” and could not support me in anyway it made me consider why did I even buy the insurance. My claim did get approved but the experience was awful and would not recommend
