Review ID,Reviewer Name,Rating,Review Date,Review Content,cleaned_text
26,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
27,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
28,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.,husband unexpected open heart surgery caused us cancel trip see family december able get credits air needed cancel nonrefundable condo theca wine country allianz reimbursed fees assessedthen month later needed another procedure caused us cancel cruise allianz reimbursed cancelation feeswe sold alliance annual plan already renewed next year
30,SE,1 ⭐,Mar 19 2025,I just got a generic email back. My question wasn't answered.,got generic email back question wasnt answered
31,LS,2 ⭐,Mar 19 2025,"It would be helpful if your evaluators would look at the submitted documentation before asking for things to be  resubmitted that you already have; secondly, I found it very offensive when you asked for a death certificate and police report, when neither applied.  And thirdly, communication was totally lacking; I had to followup and reach out to find out what was happening.  Overall, I was disappointed in the process, not the outcome.",would helpful evaluators would look submitted documentation asking things resubmitted already secondly found offensive asked death certificate police report neither applied thirdly communication totally lacking followup reach find happening overall disappointed process outcome
32,DS,5 ⭐,Mar 19 2025,Very responsive.  Easy and quick online claim.,responsive easy quick online claim
33,JA,1 ⭐,Mar 18 2025,I tried to cancel my flight for May in February and still haven’t recieved my money back . was only offered $69 in a refund,tried cancel flight may february still havent recieved money back offered refund
35,DK,5 ⭐,Mar 18 2025,"I have purchased travel insurance from other companies in case of emergency. This was the first time I utilized Allianz Travel Insurance and it was worth it. While traveling internationally I had to use an Urgent care facility. I forwarded a claim in the easy to use Allianz App with proofs of treatment and payment. Within 24 while still abroad, Allianz processed and made a direct deposit into my account. I would highly recomend Allianz Travel Insurance and will certainly purchase their travel insurance from Allianz on future travel.",purchased travel insurance companies case emergency first time utilized allianz travel insurance worth traveling internationally use urgent care facility forwarded claim easy use allianz app proofs treatment payment within still abroad allianz processed made direct deposit account would highly recomend allianz travel insurance certainly purchase travel insurance allianz future travel
36,CB,5 ⭐,Mar 18 2025,Easy and precise,easy precise
39,MO,5 ⭐,Mar 18 2025,Reviewed and paid quickly,reviewed paid quickly
40,FT,5 ⭐,Mar 18 2025,"Very easy to pick a plan, no need for assistance, can call if need be, I have used Allianz for the past 3 yearsAnd I feel relieved that my wife & I are covered for all the traveling we do,So far we had one  claim and we were satisfied with our compensation.",easy pick plan need assistance call need used allianz past yearsand feel relieved wife covered traveling doso far one claim satisfied compensation
41,CT,5 ⭐,Mar 18 2025,"I always feel very comfortable having Allianz insurance, i am so glad you ""exist.""",always feel comfortable allianz insurance glad exist
42,SL,5 ⭐,Mar 18 2025,"Great customer service, answered all my questions.  I made a claim for trip cancellation and the process was quick and easy.  Very satisfied.",great customer service answered questions made claim trip cancellation process quick easy satisfied
43,RL,5 ⭐,Mar 18 2025,Very responsive and very little hassle.,responsive little hassle
44,NS,4 ⭐,Mar 18 2025,I did not have to use my travel insurance on this trip!,use travel insurance trip
45,RE,5 ⭐,Mar 18 2025,"I have purchased insurance before but have never had the need to use. This was my first experience, and it was very easy to use. Communicates was excellent. A very good experience.",purchased insurance never need use first experience easy use communicates excellent good experience
46,PD,1 ⭐,Mar 18 2025,You do not protect your customers and offer inadequate insurance that do not help when needed.,protect customers offer inadequate insurance help needed
47,LC,1 ⭐,Mar 18 2025,Provided required documents via email and received an email stating documents were received!Now received another email today...3/18/25...stating I needed to provide the same documents I already sent!Tried to call 800# and was unable to speak to a live person!,provided required documents via email received email stating documents receivednow received another email todaystating needed provide documents already senttried call unable speak live person
48,GE,4 ⭐,Mar 18 2025,Prompt response to the problem. Satisfied with the solution,prompt response problem satisfied solution
49,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full costwhile australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
50,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
51,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
52,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.,husband unexpected open heart surgery caused us cancel trip see family december able get credits air needed cancel nonrefundable condo theca wine country allianz reimbursed fees assessedthen month later needed another procedure caused us cancel cruise allianz reimbursed cancelation feeswe sold alliance annual plan already renewed next year
53,SA,1 ⭐,Mar 18 2025,Not able to address my concerns.,able address concerns
54,DB,5 ⭐,Mar 18 2025,I had to cancel concert tickets because of a schedule change. You folks made it fast and easy.,cancel concert tickets schedule change folks made fast easy
57,KL,5 ⭐,Mar 18 2025,"When I had to deal with some medical issues while on vacation, I went to a local clinic and my problems were resolved.Once we got home, I submitted my bill to Allianz and soon after that the money hit my account. We have had to use them a few times and every single time it was quick, easy and successful!",deal medical issues vacation went local clinic problems resolvedonce got home submitted bill allianz soon money hit account use times every single time quick easy successful
58,KS,5 ⭐,Mar 18 2025,The claims process was fairly easy and the payment prompt.,claims process fairly easy payment prompt
59,KI,2 ⭐,Mar 18 2025,"Up until now, the claims process has been simple.  Unfortunately, trying to get the final expense covered or just discussed has been taking several weeks and is not getting resolved",claims process simple unfortunately trying get final expense covered discussed taking several weeks getting resolved
60,HA,1 ⭐,Mar 18 2025,"Took out travel insurance, cancel for ANY REASON. Turns out it’s not true. I canceled my trip and they denied my claim. This Alllianz insurance is a fraud! Do not use! Never again you assholes!",took travel insurance cancel reason turns true canceled trip denied claim alllianz insurance fraud use never assholes
61,JE,5 ⭐,Mar 18 2025,I had excellent service. I had to cancel my trip a couple of days before I left and I didn't expect to get anything back. After submitting some paperwork and filling out a questionare I got a full refund within a few weeks.,excellent service cancel trip couple days left didnt expect get anything back submitting paperwork filling questionare got full refund within weeks
62,CM,1 ⭐,Mar 18 2025,"I’d give you zero stars. I resubmitted the documents for my claim not once but twice. Per your policy, I am entitled to $250 compensation. Instead of the $125 you paid. You never got. Back to me other than on February 25 saying I should hear back from you with in 10 days. It is now 21 days later on March 18. Terrible service can’t even understand the people on the phone.",id give zero stars resubmitted documents claim twice per policy entitled compensation instead paid never got back february saying hear back days days later march terrible service cant even understand people phone
63,AT,1 ⭐,Mar 18 2025,useless! Only recovered small percentage of losses after flight cancellation,useless recovered small percentage losses flight cancellation
64,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
65,SK,5 ⭐,Mar 18 2025,Clearly compared all levels of travel insurance for my trip.  Great rates.  And FANTASTIC service when I had a claim a few years ago.,clearly compared levels travel insurance trip great rates fantastic service claim years ago
66,LY,3 ⭐,Mar 18 2025,"I had a painful experience with customer service. They did ultimately refund the money for which I'm grateful, but it was a hassle getting there.",painful experience customer service ultimately refund money im grateful hassle getting
67,KA,3 ⭐,Mar 18 2025,I don't like that I need to file a claim with medicare and my supplemental plan when you know they do not pay for out of the country medical expenses. That takes a few phone calls and follow up that I don't think are necessary. Other than that it was fine. Price is reasonable and service people are courteous.,dont like need file claim medicare supplemental plan know pay country medical expenses takes phone calls follow dont think necessary fine price reasonable service people courteous
68,LR,5 ⭐,Mar 18 2025,I have used alliance many times and they have always come through for me and it’s very easy to use,used alliance many times always come easy use
69,AS,1 ⭐,Mar 18 2025,I bought insurance for my tickets because ticketmaster told me to in case something came up like work or life but when I failed a claim for basic life things that came up I did not get approved. So I lost my ticket money and insurance money. Don’t buy insurance unless you’re going to get into a natural disaster during your concert time.,bought insurance tickets ticketmaster told case something came like work life failed claim basic life things came get approved lost ticket money insurance money dont buy insurance unless youre going get natural disaster concert time
70,AC,1 ⭐,Mar 18 2025,"Back in November 2024 I submitted for a refund on my plane tickets to a Hawaii trip. Due to a major surgery, my husband & I were unable to travel. We were approved for refund on both tickets for $416.40 ea.On Nov 26th! 2024 we received one refund but are still owed the second. I contacted your company via phone & again faxed all paperwork to your company. We are still waiting on another payment of $416.40 How much longer before the rest of our money gets to us?",back november submitted refund plane tickets hawaii trip due major surgery husband unable travel approved refund tickets eaon nov th received one refund still owed second contacted company via phone faxed paperwork company still waiting another payment much longer rest money gets us
71,ET,1 ⭐,Mar 18 2025,I have tried to submit a claim and it keeps getting returned and no one is telling me why.,tried submit claim keeps getting returned one telling
72,AM,5 ⭐,Mar 18 2025,Incredibly quick and easy claim and payout.,incredibly quick easy claim payout
73,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full costwhile australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
74,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
75,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
76,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.,husband unexpected open heart surgery caused us cancel trip see family december able get credits air needed cancel nonrefundable condo theca wine country allianz reimbursed fees assessedthen month later needed another procedure caused us cancel cruise allianz reimbursed cancelation feeswe sold alliance annual plan already renewed next year
77,JH,5 ⭐,Mar 18 2025,You processed my claim quickly and fairly and totally. Thank you. Thank you.,processed claim quickly fairly totally thank thank
78,MD,5 ⭐,Mar 18 2025,Great service!!!,great service
79,ML,5 ⭐,Mar 18 2025,Processed claim fast.  From the time I submitted my claim to getting paid was approximately 1 week.,processed claim fast time submitted claim getting paid approximately week
80,YP,5 ⭐,Mar 18 2025,Great benefit to have,great benefit
81,SB,1 ⭐,Mar 18 2025,I filed a travel claim over 3 weeks ago and haven't heard anything back.,filed travel claim weeks ago havent heard anything back
82,CD,5 ⭐,Mar 18 2025,"Easy to work with, quickly modified my policy to meet my travel plans.",easy work quickly modified policy meet travel plans
83,LE,5 ⭐,Mar 18 2025,It was an easy file and we were reimbursed for my husbands medical expense while on a cruise.,easy file reimbursed husbands medical expense cruise
84,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full cost while in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full cost australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
85,MM,1 ⭐,Mar 18 2025,"Filed a claim on 2/24/25.As of 3/18/25, way past the original 7 to 10 day stated resolution period (then restated as 10-15) and still unresolved.Starting to realized all the money wasted on purchasing travel insurance with Allianz over the years (including four upcoming trips).",filed claim way past original day stated resolution period restated still unresolvedstarting realized money wasted purchasing travel insurance allianz years including four upcoming trips
86,BH,5 ⭐,Mar 18 2025,Resolved my issue quickly for me,resolved issue quickly
87,GF,5 ⭐,Mar 18 2025,Thanks this took a but but I'm happy with the result,thanks took im happy result
88,HB,1 ⭐,Mar 18 2025,I still have not received the money from a concert I was unable to attend back in February,still received money concert unable attend back february
89,JS,5 ⭐,Mar 18 2025,The travel insurance policy gave me the comfort and security that I needed to make my travel plans.,travel insurance policy gave comfort security needed make travel plans
90,HA,5 ⭐,Mar 18 2025,Putting in the claim was easy and claims fund came quickly!,putting claim easy claims fund came quickly
91,EG,5 ⭐,Mar 18 2025,We are very pleased when we have filed a claim because it was fairly easy and we were reimbursed in a timely manner!,pleased filed claim fairly easy reimbursed timely manner
92,DW,5 ⭐,Mar 18 2025,Highly recommend and gives my refund back faster than what I expect. You need Allianz Travel Insurance to protect you and hassle free while traveling abroad.,highly recommend gives refund back faster expect need allianz travel insurance protect hassle free traveling abroad
93,SC,5 ⭐,Mar 18 2025,My experience Allianz Travel Insurance was very good. The website was easy to maneuver and I received my refund within days. I would recommend this company.,experience allianz travel insurance good website easy maneuver received refund within days would recommend company
94,Holly Adams Gerhart,5 ⭐,Mar 18 2025,I uploaded receipts for the delay in our travel.  The claim was processed and the refund for our expenses was deposited back to my account quickly.,uploaded receipts delay travel claim processed refund expenses deposited back account quickly
95,JG,1 ⭐,Mar 18 2025,"Terrible call back experience. Should be able to speak with a live person, speaks English, and understands what documentation is necessary.",terrible call back experience able speak live person speaks english understands documentation necessary
96,LB,4 ⭐,Mar 18 2025,Very easy to submit a claim.  Paperwork is minimal.  Time from submission to decision could be shorter.,easy submit claim paperwork minimal time submission decision could shorter
97,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full costwhile australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
98,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
99,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
100,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.,husband unexpected open heart surgery caused us cancel trip see family december able get credits air needed cancel nonrefundable condo theca wine country allianz reimbursed fees assessedthen month later needed another procedure caused us cancel cruise allianz reimbursed cancelation feeswe sold alliance annual plan already renewed next year
101,PF,5 ⭐,Mar 18 2025,Good experience - we had a travel delay and they paid us for our expenses without delay or hassle.,good experience travel delay paid us expenses without delay hassle
102,EL,5 ⭐,Mar 18 2025,My case was handled and resolved in record time.,case handled resolved record time
104,KE,5 ⭐,Mar 18 2025,"So grateful we purchased, and service and refund time was wonderful!",grateful purchased service refund time wonderful
105,TE,1 ⭐,Mar 18 2025,Response and resolution took too long. I ended up cancelling the claim because the event came up.,response resolution took long ended cancelling claim event came
106,RR,5 ⭐,Mar 18 2025,We called and started a claim. When we arrived home they were very helpful in assisting us with how to submit and what was needed. The prompt review and payment was accomplished extremely quickly. We defiantly recommendFor any travels for piece of mind.,called started claim arrived home helpful assisting us submit needed prompt review payment accomplished extremely quickly defiantly recommendfor travels piece mind
107,DP,1 ⭐,Mar 18 2025,Allianz denied my claim for no reason that I can see was a valid reason for denial. I booked an excursion and was unable to make it due to a port cancellation from the cruise ship I was on. Allianz did not refund my money.,allianz denied claim reason see valid reason denial booked excursion unable make due port cancellation cruise ship allianz refund money
108,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
